order_item_id,order_id,product_id,price_usd,cogs_usd,is_primary_item,website_session_id,created_at,user_id,revenue_usd,profit_usd
1,1,1,49.99,19.49,1,20,2012-03-19 10:42:46,20,49.99,30.500000000000004
2,2,1,49.99,19.49,1,104,2012-03-19 19:27:37,104,49.99,30.500000000000004
3,3,1,49.99,19.49,1,147,2012-03-20 06:44:45,147,49.99,30.500000000000004
4,4,1,49.99,19.49,1,160,2012-03-20 09:41:45,160,49.99,30.500000000000004
5,5,1,49.99,19.49,1,177,2012-03-20 11:28:15,177,49.99,30.500000000000004
6,6,1,49.99,19.49,1,232,2012-03-20 16:12:47,232,49.99,30.500000000000004
7,7,1,49.99,19.49,1,241,2012-03-20 17:03:41,241,49.99,30.500000000000004
8,8,1,49.99,19.49,1,295,2012-03-20 23:35:27,295,49.99,30.500000000000004
9,9,1,49.99,19.49,1,304,2012-03-21 02:35:01,304,49.99,30.500000000000004
10,10,1,49.99,19.49,1,317,2012-03-21 06:45:58,317,49.99,30.500000000000004
11,11,1,49.99,19.49,1,321,2012-03-21 07:28:02,321,49.99,30.500000000000004
12,12,1,49.99,19.49,1,327,2012-03-21 08:21:33,327,49.99,30.500000000000004
13,13,1,49.99,19.49,1,332,2012-03-21 08:45:32,332,49.99,30.500000000000004
14,14,1,49.99,19.49,1,336,2012-03-21 09:12:05,336,49.99,30.500000000000004
15,15,1,49.99,19.49,1,428,2012-03-21 16:40:06,428,49.99,30.500000000000004
16,16,1,49.99,19.49,1,434,2012-03-21 17:13:05,434,49.99,30.500000000000004
17,17,1,49.99,19.49,1,465,2012-03-21 20:28:11,465,49.99,30.500000000000004
18,18,1,49.99,19.49,1,507,2012-03-22 06:15:33,507,49.99,30.500000000000004
19,19,1,49.99,19.49,1,536,2012-03-22 10:03:49,536,49.99,30.500000000000004
20,20,1,49.99,19.49,1,615,2012-03-22 17:49:57,615,49.99,30.500000000000004
21,21,1,49.99,19.49,1,639,2012-03-22 20:33:40,639,49.99,30.500000000000004
